Nationality,Location,StartDate,EndDate,MinDeaths,MaxDeaths,DeathsOverride,DeathsFinal,AirRate,CivilianRate,IntentionalRate,Tags,AirForce,Notes,Sources;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
United States,,12/1/41,12/31/41,493,493,668.0649463,493.0,,0,,,,,;
